inc_cat,Trips_95l,trips_mean,trips_95h,N
< $40k,1.80397451418271,1.82745638444759,1.85093825471246,653060
$40k - $60k,2.06334446013213,2.08090933030753,2.09847420048293,476680
$60k - $100k,2.252592485482,2.26678146144234,2.28097043740268,715710
$100k - $125k,2.4150641384471,2.43501943039377,2.45497472234043,332590
$125k +,2.59246056138104,2.6073937748069,2.62232698823276,565670
decline,2.00171404904571,2.0165159754141,2.03131790178248,592270
